JOB_ID,JOB_NAME,JOB_ROLE,COMPONENT,SCRIPT_FILE,DESC,IN_COND,OUT_COND
PKI_001,WEF_PKI_BLD_GRPNEW,ELK_HOST,ALWAYS,PKI_001.sh,Raccordement : Création du groupe de confiance partagé de l'usine,NONE,PKI_GROUP_OK
PKI_002,WEF_PKI_BLD_DIRNEW,ELK_HOST,ALWAYS,PKI_002.sh,Structures : Création du coffre-fort neutre d'ancrage des clés de l'usine,PKI_GROUP_OK,PKI_DIR_OK
PKI_003,WEF_PKI_BLD_CAKEYGEN,ELK_HOST,ALWAYS,PKI_003.sh,Génération d'Ancre : Création de la clé privée de la CA racine globale,PKI_DIR_OK,PKI_CA_KEY_OK
PKI_004,WEF_PKI_BLD_CACRTGEN,ELK_HOST,ALWAYS,PKI_004.sh,Génération d'Ancre : Création du certificat CA racine (FactoryRootCA),PKI_CA_KEY_OK,PKI_CA_CERT_OK
PKI_005,WEF_PKI_BLD_SRVKEYGEN,ELK_HOST,ALWAYS,PKI_005.sh,Plomberie : Génération de la clé privée générique pour l'interface réseau,PKI_CA_CERT_OK,PKI_SRV_KEY_OK
PKI_006,WEF_PKI_BLD_SRVCSRGEN,ELK_HOST,ALWAYS,PKI_006.sh,Plomberie : Génération de la CSR pour le nœud d'ingestion global,PKI_SRV_KEY_OK,PKI_SRV_CSR_OK
PKI_007,WEF_PKI_BLD_SRVCRTSIGN,ELK_HOST,ALWAYS,PKI_007.sh,Signature Fédérée : Production du certificat serveur avec SAN local unifié,PKI_SRV_CSR_OK,PKI_SRV_CERT_OK
PKI_008,WEF_PKI_BLD_CHAINGEN,ELK_HOST,ALWAYS,PKI_008.sh,Assemblage : Construction de la chaîne de confiance et de la fullchain d'usine,PKI_SRV_CERT_OK,PKI_CHAIN_READY
PKI_009,WEF_PKI_BLD_SYSTEMTRUST,ELK_HOST,ALWAYS,PKI_009.sh,Ancrage Local : Injection de la CA d'usine dans le magasin de confiance de l'OS,PKI_CHAIN_READY,PKI_TRUST_OK
PKI_010,WEF_PKI_BLD_CLEANCSR,ELK_HOST,ALWAYS,PKI_010.sh,Nettoyage : Évacuation des résidus de calcul éphémères du coffre central,PKI_TRUST_OK,PKI_CLEAN_OK
PKI_011,WEF_PKI_BLD_PERMRSTRCT,ELK_HOST,ALWAYS,PKI_011.sh,Verrouillage Hermétique : Isolation et attribution des droits au groupe partagé,PKI_CLEAN_OK,PKI_CRYPTO_ARMED
ES_001,WEF_ES_BLD_OSUPDATE,ELK_HOST,ALWAYS,ES_001.sh,Terrassement : Mise à jour OS Oracle Linux 8.10,PKI_CRYPTO_ARMED,ES_OS_UPDATED
ES_B001_RAM_CHECK,WEF_ES_BLD_MINRAMVERIFY,ELK_HOST,ALWAYS,ES_B001_RAM_CHECK.sh,Contrôle Capacitaire : Vérification du seuil minimal de mémoire physique,ES_OS_UPDATED,ES_RAM_CONFIRMED
ES_002,WEF_ES_BLD_OSLIMIT,ELK_HOST,ALWAYS,ES_002.sh,Durcissement : Fixation définitive ulimit -n 65536 et memlock unlimited,ES_RAM_CONFIRMED,ES_LIMITS_OK
ES_003,WEF_ES_BLD_OSSWPPNS,ELK_HOST,ALWAYS,ES_003.sh,Durcissement : Fixation stable de vm.swappiness=1,ES_LIMITS_OK,ES_SWAP_OK
ES_004,WEF_ES_BLD_OSTHP,ELK_HOST,ALWAYS,ES_004.sh,Durcissement : Désactivation permanente des THP via rc.local,ES_SWAP_OK,ES_KERNEL_READY
ES_005,WEF_ES_BLD_OSMAXMAP,ELK_HOST,ALWAYS,ES_005.sh,Durcissement : Augmentation vm.max_map_count à 262144,ES_KERNEL_READY,ES_MAP_COUNT_OK
ES_006,WEF_ES_BLD_USRNEW,ELK_HOST,ALWAYS,ES_006.sh,Isolation : Création sécurisée de l'utilisateur 'elasticsearch',ES_MAP_COUNT_OK,ES_USER_READY
ES_007,WEF_ES_BLD_DIRSTRUCT,ELK_HOST,ALWAYS,ES_007.sh,Structures : Initialisation des répertoires de données - logs et conf,ES_USER_READY,ES_DIRS_OK
ES_008,WEF_ES_BLD_DIROWNER2,ELK_HOST,ALWAYS,ES_008.sh,Droits : Alignement des permissions propriétaires sur les dossiers,ES_DIRS_OK,ES_OWNER_OK
ES_009,WEF_ES_BLD_UTILSINSTLL,ELK_HOST,ALWAYS,ES_009.sh,Plomberie : Installation exclusive de wget - unzip et policycoreutils,ES_OWNER_OK,ES_ENV_READY
ES_010,WEF_ES_BLD_TMPSECURE,ELK_HOST,ALWAYS,ES_010.sh,Durcissement : Sécurisation avec sticky bit du dossier /tmp,ES_ENV_READY,ES_TMP_ARMED
ES_011,WEF_ES_BLD_FWARMING,ELK_HOST,ALWAYS,ES_011.sh,Périmètre : Activation permanente du pare-feu local,ES_TMP_ARMED,ES_FW_ACTIVE
ES_012,WEF_ES_BLD_FWZONEDEF,ELK_HOST,ALWAYS,ES_012.sh,Châssis Réseau : Création de la zone d'ingestion permanente,ES_FW_ACTIVE,ES_FW_ZONE_OK
ES_013,WEF_ES_BLD_FWOPEN9200,ELK_HOST,ALWAYS,ES_013.sh,Désoperculage Port : Ouverture persistante de la fiche locale 9200,ES_FW_ZONE_OK,ES_FW_9200_OK
ES_014,WEF_ES_BLD_FWOPEN9300,ELK_HOST,ALWAYS,ES_014.sh,Désoperculage Port : Ouverture persistante de la fiche locale 9300,ES_FW_9200_OK,ES_FW_9300_OK
ES_015,WEF_ES_BLD_FWAPPLY,ELK_HOST,ALWAYS,ES_015.sh,Mise en ligne Barrière : Application à chaud des règles OS,ES_FW_9300_OK,ES_FW_ARMED
ES_B015_GPG,WEF_ES_BLD_GPGKEYIMPORT,ELK_HOST,ALWAYS,ES_B015_GPG.sh,Terrassement : Importation de la clé GPG officielle d'Elastic,ES_FW_ARMED,ES_GPG_OK
ES_016,WEF_ES_BLD_REPOSET,ELK_HOST,ALWAYS,ES_016.sh,Acheminement : Configuration immuable du dépôt officiel,ES_GPG_OK,ES_REPO_OK
ES_017,WEF_ES_BLD_BININST,ELK_HOST,ALWAYS,ES_017.sh,Pose Parpaings : Installation physique du paquet binaire,ES_REPO_OK,ES_BIN_OK
ES_018,WEF_ES_BLD_CRYPCHK,ELK_HOST,ALWAYS,ES_018.sh,Validation Inter-Blocs : Contrôle d'accès au coffre neutre de l'usine,ES_BIN_OK,ES_PKI_READY
ES_019,WEF_ES_BLD_ACLREAD,ELK_HOST,ALWAYS,ES_019.sh,Raccordement : Ajout de l'utilisateur 'elasticsearch' au groupe sécurisé,ES_PKI_READY,ES_CERTS_READY
