JOB_ID,JOB_NAME,COMPONENT,SCRIPT_FILE,DESCRIPTION,IN_CONDITIONS,OUT_CONDITION
WAW_001,WEF_WAW_BLD_PREREQ,WAZUH_AGENT,WAW_001.ps1,Verification connectivite vers le manager,NONE,WAW_PREREQ_OK
WAW_002,WEF_WAW_BLD_DOWNLOAD,WAZUH_AGENT,WAW_002.ps1,Telechargement du package MSI wazuh-agent,WAW_PREREQ_OK,WAW_DOWNLOAD_OK
WAW_003,WEF_WAW_BLD_BININST,WAZUH_AGENT,WAW_003.ps1,Installation silencieuse de wazuh-agent,WAW_DOWNLOAD_OK,WAW_INSTALL_OK
WAW_004,WEF_WAW_BLD_CONFIGURE,WAZUH_AGENT,WAW_004.ps1,Configuration adresse manager + nom agent,WAW_INSTALL_OK,WAW_CONFIG_OK
WAW_005,WEF_WAW_BLD_SVCSTART,WAZUH_AGENT,WAW_005.ps1,Activation et demarrage du service WazuhSvc,WAW_CONFIG_OK,WAW_SVC_UP
WAW_006,WEF_WAW_RUN_VERIFY,WAZUH_AGENT,WAW_006.ps1,Verification enregistrement et rapport final,WAW_SVC_UP,WAW_READY
FBW_001,WEF_FBW_BLD_PREREQ,FILEBEAT,FBW_001.ps1,Verification connectivite vers Logstash (port 5044),NONE,FBW_PREREQ_OK
FBW_002,WEF_FBW_BLD_DOWNLOAD,FILEBEAT,FBW_002.ps1,Telechargement de l'archive ZIP Filebeat,FBW_PREREQ_OK,FBW_DOWNLOAD_OK
FBW_003,WEF_FBW_BLD_BININST,FILEBEAT,FBW_003.ps1,Extraction et enregistrement du service Filebeat,FBW_DOWNLOAD_OK,FBW_INSTALL_OK
FBW_004,WEF_FBW_BLD_PKICHECK,FILEBEAT,FBW_004.ps1,Verification presence du certificat CA d'usine,FBW_INSTALL_OK,FBW_PKI_OK
FBW_005,WEF_FBW_BLD_CONFIGURE,FILEBEAT,FBW_005.ps1,Ecriture filebeat.yml (Journal Windows -> Logstash),FBW_PKI_OK,FBW_CONFIG_OK
FBW_006,WEF_FBW_BLD_SVCSTART,FILEBEAT,FBW_006.ps1,Activation et demarrage du service filebeat,FBW_CONFIG_OK,FBW_SVC_UP
FBW_007,WEF_FBW_RUN_VERIFY,FILEBEAT,FBW_007.ps1,Verification et rapport final,FBW_SVC_UP,FBW_READY
MBW_001,WEF_MBW_BLD_PREREQ,METRICBEAT,MBW_001.ps1,Verification connectivite vers Logstash (port 5044),NONE,MBW_PREREQ_OK
MBW_002,WEF_MBW_BLD_DOWNLOAD,METRICBEAT,MBW_002.ps1,Telechargement de l'archive ZIP Metricbeat,MBW_PREREQ_OK,MBW_DOWNLOAD_OK
MBW_003,WEF_MBW_BLD_BININST,METRICBEAT,MBW_003.ps1,Extraction et enregistrement du service Metricbeat,MBW_DOWNLOAD_OK,MBW_INSTALL_OK
MBW_004,WEF_MBW_BLD_PKICHECK,METRICBEAT,MBW_004.ps1,Verification presence du certificat CA d'usine,MBW_INSTALL_OK,MBW_PKI_OK
MBW_005,WEF_MBW_BLD_CONFIGURE,METRICBEAT,MBW_005.ps1,Ecriture metricbeat.yml (modules systeme -> Logstash),MBW_PKI_OK,MBW_CONFIG_OK
MBW_006,WEF_MBW_BLD_SVCSTART,METRICBEAT,MBW_006.ps1,Activation et demarrage du service metricbeat,MBW_CONFIG_OK,MBW_SVC_UP
MBW_007,WEF_MBW_RUN_VERIFY,METRICBEAT,MBW_007.ps1,Verification et rapport final,MBW_SVC_UP,MBW_READY
